timestamp,user,action,resource,resource_type,source_ip,method,component,description
2025-05-26T09:01:02Z,jumana.ghazi,session_created,,,,,IAM,New session created for user jumana.ghazi
2025-05-26T09:02:48Z,alaa.salem,token_revoked,,,,,IAM,Authentication token revoked for user alaa.salem
2025-05-26T09:03:44Z,abdulrahman.karim,session_timeout,,,,,IAM,Session timed out due to inactivity for user abdulrahman.karim
2025-05-26T09:04:20Z,fahd.saadi,mfa_fail,,,,,IAM,MFA verification failed for user fahd.saadi
2025-05-26T09:06:15Z,zubair.abdulqadir,user_disabled,,,,,IAM,User zubair.abdulqadir account disabled
2025-05-26T09:06:59Z,hibah.yusuf,resource_unshared,,,,,IAM,User hibah.yusuf stopped sharing 
2025-05-26T09:07:34Z,khaled.rafat,api_key_created,,,,,IAM,API key created for user khaled.rafat
2025-05-26T09:08:33Z,asmaa.rahman,user_enabled,,,,,IAM,User asmaa.rahman account re-enabled
2025-05-26T09:09:40Z,laila.badran,permission_escalation_attempt,,,,,IAM,User laila.badran attempted to escalate permissions
2025-05-26T09:10:28Z,sabir.jarrah,api_key_created,,,,,IAM,API key created for user sabir.jarrah
2025-05-26T09:12:08Z,jumana.ghazi,password_expired,,,,,IAM,"Password expired for user jumana.ghazi, requires update"
2025-05-26T09:13:14Z,fahd.saadi,mfa_success,,,,,IAM,User fahd.saadi passed MFA challenge
2025-05-26T09:14:46Z,mohanna.hadi,account_locked,,,,,IAM,Account for user mohanna.hadi locked due to suspicious activity
2025-05-26T09:16:09Z,mohanna.hadi,password_reset,,,,,IAM,Password reset initiated for user mohanna.hadi
2025-05-26T09:18:01Z,amina.talal,resource_shared,,,,,IAM,User amina.talal shared  with others
2025-05-26T09:19:44Z,salwa.hamdi,permission_change,,,,,IAM,Permissions changed for user salwa.hamdi
2025-05-26T09:21:28Z,kamilah.mohamed,group_joined,,,,,IAM,User kamilah.mohamed joined group 
2025-05-26T09:22:18Z,ali.mostafa,user_enabled,,,,,IAM,User ali.mostafa account re-enabled
2025-05-26T09:22:49Z,salma.hamdan,user_deleted,,,,,IAM,User salma.hamdan account deleted
2025-05-26T09:23:43Z,hala.karim,mfa_challenge,,,,,IAM,MFA challenge triggered for user hala.karim
2025-05-26T09:25:17Z,hamza.zaki,group_joined,,,,,IAM,User hamza.zaki joined group 
2025-05-26T09:27:06Z,omar.fahad,session_created,,,,,IAM,New session created for user omar.fahad
2025-05-26T09:28:56Z,ahmed.bakr,account_locked,,,,,IAM,Account for user ahmed.bakr locked due to suspicious activity
2025-05-26T09:29:40Z,firas.mohamed,mfa_enrolled,,,,,IAM,User firas.mohamed enrolled in MFA
2025-05-26T09:31:01Z,rasha.younis,logout,,,,,IAM,User rasha.younis logged out successfully
2025-05-26T09:32:27Z,mona.abdul,session_terminated,,,,,IAM,Session terminated for user mona.abdul
2025-05-26T09:33:09Z,layla.abdullah,group_joined,,,,,IAM,User layla.abdullah joined group 
2025-05-26T09:35:02Z,asmaa.rahman,mfa_enrolled,,,,,IAM,User asmaa.rahman enrolled in MFA
2025-05-26T09:35:55Z,rima.bashir,session_timeout,,,,,IAM,Session timed out due to inactivity for user rima.bashir
2025-05-26T09:36:40Z,fatma.ismail,resource_unshared,,,,,IAM,User fatma.ismail stopped sharing 
2025-05-26T09:37:42Z,sawsan.mansour,api_key_deleted,,,,,IAM,API key deleted for user sawsan.mansour
2025-05-26T09:38:32Z,salim.hadi,user_disabled,,,,,IAM,User salim.hadi account disabled
2025-05-26T09:39:35Z,farouk.karim,password_reset,,,,,IAM,Password reset initiated for user farouk.karim
2025-05-26T09:40:47Z,yara.khaled,password_reset,,,,,IAM,Password reset initiated for user yara.khaled
2025-05-26T09:41:42Z,muna.rashid,session_created,,,,,IAM,New session created for user muna.rashid
2025-05-26T09:43:41Z,wahid.farhan,access_granted,finance_db,database,,,IAM,Access granted to finance_db for user wahid.farhan
2025-05-26T09:45:06Z,hafsa.mansur,mfa_success,,,,,IAM,User hafsa.mansur passed MFA challenge
2025-05-26T09:47:06Z,salma.hamdan,token_revoked,,,,,IAM,Authentication token revoked for user salma.hamdan
2025-05-26T09:48:10Z,raed.saleh,group_joined,,,,,IAM,User raed.saleh joined group 
2025-05-26T09:48:42Z,ghassan.sharif,permission_change,,,,,IAM,Permissions changed for user ghassan.sharif
2025-05-26T09:50:01Z,bilal.mansour,group_joined,,,,,IAM,User bilal.mansour joined group 
2025-05-26T09:51:54Z,jafar.mohamed,mfa_fail,,,,,IAM,MFA verification failed for user jafar.mohamed
2025-05-26T09:52:26Z,sara.abdelkarim,user_disabled,,,,,IAM,User sara.abdelkarim account disabled
2025-05-26T09:53:59Z,hibah.yusuf,account_unlocked,,,,,IAM,Account for user hibah.yusuf was unlocked by admin
2025-05-26T09:55:24Z,sawsan.mansour,password_change,,,,,IAM,User sawsan.mansour changed their password
2025-05-26T09:55:58Z,ahmed.alsayed,password_reset,,,,,IAM,Password reset initiated for user ahmed.alsayed
2025-05-26T09:57:56Z,dina.farouk,token_generated,,,,,IAM,Authentication token generated for user dina.farouk
2025-05-26T09:58:48Z,noura.abdul,user_enabled,,,,,IAM,User noura.abdul account re-enabled
2025-05-26T10:00:30Z,samir.shaheen,user_created,,,,,IAM,New user samir.shaheen account created
2025-05-26T10:01:35Z,salma.hamdan,mfa_fail,,,,,IAM,MFA verification failed for user salma.hamdan
2025-05-26T10:02:14Z,nadia.abdel,password_reset,,,,,IAM,Password reset initiated for user nadia.abdel
2025-05-26T10:02:52Z,yara.khaled,login_attempt,,,,,IAM,Login attempt detected for user yara.khaled
2025-05-26T10:04:35Z,lamia.bader,password_reset,,,,,IAM,Password reset initiated for user lamia.bader
2025-05-26T10:05:47Z,nabil.ayoub,password_expired,,,,,IAM,"Password expired for user nabil.ayoub, requires update"
2025-05-26T10:06:44Z,samah.fahmi,mfa_challenge,,,,,IAM,MFA challenge triggered for user samah.fahmi
2025-05-26T10:07:53Z,kareem.jamal,mfa_enrolled,,,,,IAM,User kareem.jamal enrolled in MFA
2025-05-26T10:09:04Z,layla.abdullah,role_assigned,,,,,IAM,User layla.abdullah assigned role 
2025-05-26T10:10:11Z,laila.mohsen,api_key_created,,,,,IAM,API key created for user laila.mohsen
2025-05-26T10:12:03Z,firas.mohamed,mfa_fail,,,,,IAM,MFA verification failed for user firas.mohamed
2025-05-26T10:13:28Z,shaden.naqib,api_key_created,,,,,IAM,API key created for user shaden.naqib
2025-05-26T10:15:28Z,tariq.mansour,policy_applied,,,,,IAM,New IAM policy applied to user tariq.mansour
2025-05-26T10:16:37Z,zaki.bahaa,mfa_enrolled,,,,,IAM,User zaki.bahaa enrolled in MFA
2025-05-26T10:17:49Z,reem.jabari,mfa_enrolled,,,,,IAM,User reem.jabari enrolled in MFA
2025-05-26T10:19:20Z,noura.abdul,resource_shared,,,,,IAM,User noura.abdul shared  with others
2025-05-26T10:21:05Z,rania.faraj,password_change,,,,,IAM,User rania.faraj changed their password
2025-05-26T10:22:28Z,lina.abdulaziz,session_terminated,,,,,IAM,Session terminated for user lina.abdulaziz
2025-05-26T10:23:22Z,noura.salem,account_locked,,,,,IAM,Account for user noura.salem locked due to suspicious activity
2025-05-26T10:24:49Z,mariyam.farid,mfa_challenge,,,,,IAM,MFA challenge triggered for user mariyam.farid
2025-05-26T10:25:23Z,rasha.younis,user_deleted,,,,,IAM,User rasha.younis account deleted
2025-05-26T10:27:04Z,sami.jaber,mfa_enrolled,,,,,IAM,User sami.jaber enrolled in MFA
2025-05-26T10:28:03Z,amina.talal,mfa_success,,,,,IAM,User amina.talal passed MFA challenge
2025-05-26T10:29:56Z,hazem.younis,login_success,,,192.168.254.35,kerberos,IAM,User hazem.younis successfully authenticated
2025-05-26T10:31:48Z,sawsan.mansour,access_request,admin_panel,web_app,,,IAM,User sawsan.mansour requested access to admin_panel
2025-05-26T10:33:01Z,siham.faraj,password_reset,,,,,IAM,Password reset initiated for user siham.faraj
2025-05-26T10:34:32Z,zahra.mahdi,token_generated,,,,,IAM,Authentication token generated for user zahra.mahdi
2025-05-26T10:36:28Z,zubair.abdulqadir,role_revoked,,,,,IAM,Role  revoked from user zubair.abdulqadir
2025-05-26T10:37:53Z,wael.abdulrahim,group_left,,,,,IAM,User wael.abdulrahim left group 
2025-05-26T10:39:09Z,dalia.karim,access_denied,cloud_console,cloud_service,,,IAM,Access denied to cloud_console for user dalia.karim
2025-05-26T10:40:23Z,manar.halabi,permission_escalation_attempt,,,,,IAM,User manar.halabi attempted to escalate permissions
2025-05-26T10:41:43Z,younes.abdullah,user_deleted,,,,,IAM,User younes.abdullah account deleted
2025-05-26T10:42:37Z,zohair.salim,role_assigned,,,,,IAM,User zohair.salim assigned role 
2025-05-26T10:43:51Z,yasir.khalaf,mfa_fail,,,,,IAM,MFA verification failed for user yasir.khalaf
2025-05-26T10:45:26Z,rima.bashir,password_change,,,,,IAM,User rima.bashir changed their password
2025-05-26T10:47:22Z,sawsan.mansour,mfa_success,,,,,IAM,User sawsan.mansour passed MFA challenge
2025-05-26T10:48:02Z,salim.hadi,mfa_success,,,,,IAM,User salim.hadi passed MFA challenge
2025-05-26T10:49:53Z,maysa.abdelrahman,api_key_created,,,,,IAM,API key created for user maysa.abdelrahman
2025-05-26T10:50:35Z,muna.bakr,api_key_deleted,,,,,IAM,API key deleted for user muna.bakr
2025-05-26T10:52:24Z,zubair.abdulqadir,access_granted,hr_records,,,,IAM,Access granted to hr_records for user zubair.abdulqadir
2025-05-26T10:54:12Z,abdulrahman.karim,access_request,finance_db,database,,,IAM,User abdulrahman.karim requested access to finance_db
2025-05-26T10:56:07Z,omar.fahad,group_left,,,,,IAM,User omar.fahad left group 
2025-05-26T10:57:49Z,reem.ali,user_enabled,,,,,IAM,User reem.ali account re-enabled
2025-05-26T10:59:18Z,younes.abdullah,policy_applied,,,,,IAM,New IAM policy applied to user younes.abdullah
2025-05-26T11:00:40Z,rashid.nour,session_terminated,,,,,IAM,Session terminated for user rashid.nour
2025-05-26T11:02:00Z,rina.sharif,session_terminated,,,,,IAM,Session terminated for user rina.sharif
2025-05-26T11:03:22Z,rashid.nour,user_disabled,,,,,IAM,User rashid.nour account disabled
2025-05-26T11:04:58Z,dina.rashid,token_revoked,,,,,IAM,Authentication token revoked for user dina.rashid
2025-05-26T11:05:54Z,nader.shams,group_joined,,,,,IAM,User nader.shams joined group 
2025-05-26T11:07:17Z,wajih.alhassan,mfa_success,,,,,IAM,User wajih.alhassan passed MFA challenge
2025-05-26T11:07:53Z,samah.abdelfattah,session_timeout,,,,,IAM,Session timed out due to inactivity for user samah.abdelfattah
2025-05-26T11:08:39Z,nader.shams,password_expired,,,,,IAM,"Password expired for user nader.shams, requires update"
2025-05-26T11:10:36Z,rina.sharif,group_left,,,,,IAM,User rina.sharif left group 
2025-05-26T11:12:35Z,salim.hadi,token_revoked,,,,,IAM,Authentication token revoked for user salim.hadi
2025-05-26T11:13:46Z,mohsen.najjar,session_created,,,,,IAM,New session created for user mohsen.najjar
2025-05-26T11:15:20Z,noura.abdul,account_locked,,,,,IAM,Account for user noura.abdul locked due to suspicious activity
2025-05-26T11:16:12Z,laila.badran,group_left,,,,,IAM,User laila.badran left group 
