receive_time,source_ip,dest_ip,source_port,dest_port,protocol,action,rule_name,app,category,session_id,bytes_sent,bytes_received,threat_id,url,user_agent
2025-05-26T09:00:15Z,192.168.1.10,8.8.8.8,52345,53,udp,allow,DNS-Allow,dns,infrastructure,1001,78,110,,,
2025-05-26T09:00:22Z,192.168.1.15,192.168.1.1,45678,443,tcp,allow,Allow-HTTPS,ssl,business,1002,980,1540,,,"Mozilla/5.0"
2025-05-26T09:01:05Z,192.168.1.20,104.21.64.45,56789,80,tcp,allow,Allow-HTTP,http,business,1003,7800,2034,,,"Mozilla/5.0"
2025-05-26T09:01:30Z,192.168.1.25,172.217.16.206,34567,443,tcp,allow,Allow-HTTPS,ssl,business,1004,1540,1740,,,"Mozilla/5.0"
2025-05-26T09:01:55Z,192.168.1.10,198.51.100.23,51422,22,tcp,deny,Block-SSH,ssh,remote-access,1005,0,0,,,
2025-05-26T09:02:20Z,192.168.1.12,203.0.113.45,45678,8080,tcp,deny,Block-Unusual,http,suspicious,1006,0,0,,
2025-05-26T09:03:01Z,192.168.1.30,192.0.2.80,48765,443,tcp,allow,Allow-HTTPS,ssl,business,1007,890,990,,,"Mozilla/5.0"
2025-05-26T09:04:12Z,192.168.1.22,93.184.216.34,55678,80,tcp,allow,Allow-HTTP,http,business,1008,1230,980,,,"Mozilla/5.0"
2025-05-26T09:05:00Z,192.168.1.19,203.0.113.99,56890,443,tcp,allow,Allow-HTTPS,ssl,business,1009,1900,1800,,,"Mozilla/5.0"
2025-05-26T09:06:45Z,192.168.1.33,198.51.100.77,56789,21,tcp,deny,Block-FTP,ftp,file-transfer,1010,0,0,,,
2025-05-26T09:07:32Z,192.168.1.22,185.199.110.153,56543,443,tcp,allow,Allow-HTTPS,ssl,business,1011,1680,2040,,,"Mozilla/5.0"
2025-05-26T09:08:10Z,192.168.1.18,192.168.1.1,43210,53,udp,allow,DNS-Allow,dns,infrastructure,1012,90,100,,,
2025-05-26T09:09:05Z,192.168.1.42,172.217.22.14,42345,443,tcp,allow,Allow-HTTPS,ssl,business,1013,1500,1400,,,"Mozilla/5.0"
2025-05-26T09:10:12Z,192.168.1.17,198.51.100.200,56700,443,tcp,allow,Allow-HTTPS,ssl,business,1014,2300,1800,,,"Mozilla/5.0"
2025-05-26T09:11:59Z,192.168.1.22,ph1sh-now-login[.]com,43210,443,tcp,allow,Allow-HTTPS,ssl,unknown,1015,900,800,,,"Outlook/16.0 (Windows NT 10.0; Win64; x64)"
2025-05-26T09:12:33Z,192.168.1.22,ph1sh-now-login[.]com,43211,443,tcp,allow,Allow-HTTPS,ssl,unknown,1016,18400,20300,,,"Outlook/16.0 (Windows NT 10.0; Win64; x64)"
2025-05-26T09:13:00Z,192.168.1.22,192.0.2.55,45678,80,tcp,allow,Allow-HTTP,http,business,1017,2000,1400,,,"Mozilla/5.0"
2025-05-26T09:14:42Z,192.168.1.50,104.16.249.249,47890,443,tcp,allow,Allow-HTTPS,ssl,business,1018,1800,2100,,,"Mozilla/5.0"
2025-05-26T09:15:55Z,192.168.1.22,10.10.10.10,42345,8080,tcp,allow,Allow-HTTP,http,business,1019,2200,3300,,,"Python-requests/2.31"
