receive_time,source_ip,dest_ip,source_port,dest_port,protocol,action,rule_name,app,category,session_id,bytes_sent,bytes_received,threat_id,url,user_agent
2025-05-26T09:00:43Z,192.168.1.47,192.0.2.80,39373,21,tcp,deny,Block-FTP,ftp,file-transfer,2000,0,0,,,
2025-05-26T09:00:52Z,192.168.1.33,192.0.2.55,43269,22,udp,deny,Block-SSH,ssh,remote-access,2001,0,0,,,
2025-05-26T09:01:52Z,192.168.1.22,8.8.8.8,50595,22,tcp,deny,Block-SSH,ssh,remote-access,2002,0,0,,,
2025-05-26T09:02:18Z,192.168.1.40,172.217.22.14,23673,445,tcp,allow,Allow-SMB,smb,infrastructure,2003,17502,6977,,,
2025-05-26T09:03:05Z,192.168.1.42,93.184.216.34,61215,443,udp,allow,Allow-HTTPS,ssl,business,2004,18144,8126,,,
2025-05-26T09:03:17Z,192.168.1.5,185.199.110.153,1842,22,udp,deny,Block-SSH,ssh,remote-access,2005,0,0,,,
2025-05-26T09:04:11Z,192.168.1.32,192.0.2.80,29255,3389,tcp,deny,Block-RDP,rdp,remote-access,2006,0,0,,,
2025-05-26T09:05:04Z,192.168.1.9,8.8.8.8,47820,22,tcp,deny,Block-SSH,ssh,remote-access,2007,0,0,,,
2025-05-26T09:05:54Z,192.168.1.54,104.16.249.249,18520,53,udp,allow,DNS-Allow,dns,infrastructure,2008,4351,15362,,,
2025-05-26T09:06:03Z,192.168.1.53,198.51.100.200,37409,445,tcp,allow,Allow-SMB,smb,infrastructure,2009,16980,12824,,,
2025-05-26T09:06:49Z,192.168.1.51,185.199.110.153,1508,3389,udp,deny,Block-RDP,rdp,remote-access,2010,0,0,,,
2025-05-26T09:07:26Z,192.168.1.56,93.184.216.34,30772,53,tcp,allow,DNS-Allow,dns,infrastructure,2011,3172,9816,,,
2025-05-26T09:08:24Z,192.168.1.49,172.217.22.14,58473,22,tcp,deny,Block-SSH,ssh,remote-access,2012,0,0,,,
2025-05-26T09:09:16Z,192.168.1.17,104.21.64.45,39127,445,tcp,allow,Allow-SMB,smb,infrastructure,2013,18533,2968,,,
2025-05-26T09:09:44Z,192.168.1.23,198.51.100.77,46093,22,udp,deny,Block-SSH,ssh,remote-access,2014,0,0,,,
2025-05-26T09:10:39Z,192.168.1.45,172.217.22.14,35082,22,tcp,deny,Block-SSH,ssh,remote-access,2015,0,0,,,
2025-05-26T09:11:21Z,192.168.1.8,203.0.113.45,2471,445,tcp,allow,Allow-SMB,smb,infrastructure,2016,11283,10970,,,
2025-05-26T09:11:48Z,192.168.1.56,10.10.10.10,7343,21,tcp,deny,Block-FTP,ftp,file-transfer,2017,0,0,,,
2025-05-26T09:12:01Z,192.168.1.47,172.217.22.14,41332,443,udp,allow,Allow-HTTPS,ssl,business,2018,8266,2450,,,Outlook/16.0 (Windows NT 10.0; Win64; x64)
2025-05-26T09:12:32Z,192.168.1.15,203.0.113.45,41838,80,tcp,allow,Allow-HTTP,http,business,2019,800,9570,,,
2025-05-26T09:12:45Z,192.168.1.6,8.8.8.8,60767,22,udp,deny,Block-SSH,ssh,remote-access,2020,0,0,,,
2025-05-26T09:13:06Z,192.168.1.21,104.21.64.45,27587,21,udp,deny,Block-FTP,ftp,file-transfer,2021,0,0,,,
2025-05-26T09:13:48Z,192.168.1.32,203.0.113.99,29678,445,tcp,allow,Allow-SMB,smb,infrastructure,2022,12979,6393,,,
2025-05-26T09:14:24Z,192.168.1.51,ph1sh-now-login[.]com,58265,3389,tcp,deny,Block-RDP,rdp,remote-access,2023,0,0,,,
2025-05-26T09:14:55Z,192.168.1.16,198.51.100.23,31797,80,udp,allow,Allow-HTTP,http,business,2024,6554,12257,,,Python-requests/2.31
2025-05-26T09:15:37Z,192.168.1.29,185.199.110.153,31172,21,udp,deny,Block-FTP,ftp,file-transfer,2025,0,0,,,
2025-05-26T09:16:18Z,192.168.1.42,192.0.2.80,8202,445,udp,allow,Allow-SMB,smb,infrastructure,2026,18216,19492,,,
2025-05-26T09:16:29Z,192.168.1.31,203.0.113.99,41071,3389,tcp,deny,Block-RDP,rdp,remote-access,2027,0,0,,,
2025-05-26T09:17:29Z,192.168.1.45,104.21.64.45,41772,80,tcp,allow,Allow-HTTP,http,business,2028,1740,11830,,,Mozilla/5.0
2025-05-26T09:18:28Z,192.168.1.4,104.16.249.249,46795,21,tcp,deny,Block-FTP,ftp,file-transfer,2029,0,0,,,
2025-05-26T09:18:55Z,192.168.1.4,8.8.8.8,58014,3389,udp,deny,Block-RDP,rdp,remote-access,2030,0,0,,,
2025-05-26T09:19:37Z,192.168.1.21,198.51.100.200,36217,443,tcp,allow,Allow-HTTPS,ssl,business,2031,515,2921,,,Outlook/16.0 (Windows NT 10.0; Win64; x64)
2025-05-26T09:20:22Z,192.168.1.7,ph1sh-now-login[.]com,59932,3389,udp,deny,Block-RDP,rdp,remote-access,2032,0,0,,,
2025-05-26T09:20:32Z,192.168.1.56,172.217.22.14,16951,3389,tcp,deny,Block-RDP,rdp,remote-access,2033,0,0,,,
2025-05-26T09:20:53Z,192.168.1.34,ph1sh-now-login[.]com,37606,443,tcp,allow,Allow-HTTPS,ssl,business,2034,9842,881,,,Mozilla/5.0
2025-05-26T09:21:12Z,192.168.1.52,198.51.100.77,56777,443,tcp,allow,Allow-HTTPS,ssl,business,2035,10952,10517,,,Mozilla/5.0
2025-05-26T09:21:20Z,192.168.1.50,ph1sh-now-login[.]com,33574,21,tcp,deny,Block-FTP,ftp,file-transfer,2036,0,0,,,
2025-05-26T09:21:32Z,192.168.1.47,198.51.100.200,46505,22,tcp,deny,Block-SSH,ssh,remote-access,2037,0,0,,,
2025-05-26T09:21:44Z,192.168.1.4,104.21.64.45,54609,53,udp,allow,DNS-Allow,dns,infrastructure,2038,8456,14578,,,
2025-05-26T09:22:17Z,192.168.1.10,192.0.2.55,17582,21,udp,deny,Block-FTP,ftp,file-transfer,2039,0,0,,,
2025-05-26T09:22:55Z,192.168.1.22,104.16.249.249,22077,22,tcp,deny,Block-SSH,ssh,remote-access,2040,0,0,,,
2025-05-26T09:23:49Z,192.168.1.35,172.217.22.14,57948,445,tcp,allow,Allow-SMB,smb,infrastructure,2041,1630,13594,,,
2025-05-26T09:24:34Z,192.168.1.51,198.51.100.200,39948,21,tcp,deny,Block-FTP,ftp,file-transfer,2042,0,0,,,
2025-05-26T09:25:17Z,192.168.1.26,10.10.10.10,45747,21,udp,deny,Block-FTP,ftp,file-transfer,2043,0,0,,,
2025-05-26T09:25:59Z,192.168.1.43,198.51.100.23,61840,3389,udp,deny,Block-RDP,rdp,remote-access,2044,0,0,,,
2025-05-26T09:26:40Z,192.168.1.35,198.51.100.77,46356,22,tcp,deny,Block-SSH,ssh,remote-access,2045,0,0,,,
2025-05-26T09:27:16Z,192.168.1.28,10.10.10.10,16043,80,udp,allow,Allow-HTTP,http,business,2046,13592,3649,,,Outlook/16.0 (Windows NT 10.0; Win64; x64)
2025-05-26T09:27:27Z,192.168.1.39,192.0.2.80,28447,3389,tcp,deny,Block-RDP,rdp,remote-access,2047,0,0,,,
2025-05-26T09:28:18Z,192.168.1.39,198.51.100.200,57836,443,udp,allow,Allow-HTTPS,ssl,business,2048,2462,13960,,,Outlook/16.0 (Windows NT 10.0; Win64; x64)
2025-05-26T09:28:36Z,192.168.1.43,198.51.100.200,26185,22,udp,deny,Block-SSH,ssh,remote-access,2049,0,0,,,
2025-05-26T09:28:48Z,192.168.1.5,ph1sh-now-login[.]com,32788,53,udp,allow,DNS-Allow,dns,infrastructure,2050,18141,1467,,,
2025-05-26T09:28:54Z,192.168.1.25,198.51.100.23,50039,443,udp,allow,Allow-HTTPS,ssl,business,2051,19231,18323,,,
2025-05-26T09:29:27Z,192.168.1.23,104.16.249.249,24383,443,tcp,allow,Allow-HTTPS,ssl,business,2052,11588,10390,,,Outlook/16.0 (Windows NT 10.0; Win64; x64)
2025-05-26T09:30:13Z,192.168.1.28,185.199.110.153,29371,21,udp,deny,Block-FTP,ftp,file-transfer,2053,0,0,,,
2025-05-26T09:30:19Z,192.168.1.51,198.51.100.77,33721,3389,udp,deny,Block-RDP,rdp,remote-access,2054,0,0,,,
2025-05-26T09:30:46Z,192.168.1.58,192.0.2.55,59186,3389,udp,deny,Block-RDP,rdp,remote-access,2055,0,0,,,
2025-05-26T09:31:31Z,192.168.1.12,198.51.100.200,14549,3389,tcp,deny,Block-RDP,rdp,remote-access,2056,0,0,,,
2025-05-26T09:32:24Z,192.168.1.50,198.51.100.200,47585,22,tcp,deny,Block-SSH,ssh,remote-access,2057,0,0,,,
2025-05-26T09:32:37Z,192.168.1.45,10.10.10.10,17822,22,tcp,deny,Block-SSH,ssh,remote-access,2058,0,0,,,
2025-05-26T09:32:54Z,192.168.1.3,104.21.64.45,57545,53,udp,allow,DNS-Allow,dns,infrastructure,2059,18567,19166,,,
2025-05-26T09:33:06Z,192.168.1.8,192.0.2.55,8910,445,udp,allow,Allow-SMB,smb,infrastructure,2060,9108,9567,,,
2025-05-26T09:34:00Z,192.168.1.8,185.199.110.153,35934,80,udp,allow,Allow-HTTP,http,business,2061,4889,15426,,,Outlook/16.0 (Windows NT 10.0; Win64; x64)
2025-05-26T09:34:59Z,192.168.1.59,ph1sh-now-login[.]com,1509,53,tcp,allow,DNS-Allow,dns,infrastructure,2062,13394,7284,,,
