timestamp,user,machine,os,action,application_or_sender,url_or_ip,file_or_path,description
2025-05-26 08:00:00,y.ait,PC-192.168.1.101,Windows10,file_access,,,C:\Users\y.ait\Documents\project.docx,Opened document
2025-05-26 08:00:48,a.hamidi,PC-192.168.1.102,Windows10,login_success,,,,User a.hamidi logged in
2025-05-26 08:01:22,n.elkhlifi,PC-192.168.1.104,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 08:01:40,y.ait,PC-192.168.1.105,Windows10,email_clicked,,,http://phish-login.com,Clicked suspicious link: http://phish-login.com
2025-05-26 08:02:05,y.ait,PC-192.168.1.102,Windows10,email_clicked,,,http://um6p-reset-password.com,Clicked suspicious link: http://um6p-reset-password.com
2025-05-26 08:03:21,y.ait,PC-192.168.1.101,Windows10,open_application,Word.exe,,,y.ait opened Word.exe
2025-05-26 08:04:23,m.benali,PC-192.168.1.103,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 08:04:49,a.hamidi,PC-192.168.1.103,Windows10,open_application,Outlook.exe,,,a.hamidi opened Outlook.exe
2025-05-26 08:05:32,y.ait,PC-192.168.1.105,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 08:07:00,m.benali,PC-192.168.1.105,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 08:07:42,m.benali,PC-192.168.1.102,Windows10,file_access,,,C:\Users\m.benali\Documents\project.docx,Opened document
2025-05-26 08:08:57,y.ait,PC-192.168.1.105,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 08:09:42,m.benali,PC-192.168.1.105,Windows10,login_success,,,,User m.benali logged in
2025-05-26 08:10:08,n.elkhlifi,PC-192.168.1.102,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 08:11:24,y.ait,PC-192.168.1.102,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 08:12:08,a.hamidi,PC-192.168.1.104,Windows10,network_connection,,,10.0.0.66,Suspicious connection to 10.0.0.66
2025-05-26 08:12:59,m.benali,PC-192.168.1.101,Windows10,open_application,Teams.exe,,,m.benali opened Teams.exe
2025-05-26 08:13:54,a.hamidi,PC-192.168.1.105,Windows10,file_created,,,C:\Temp\malware.exe,Suspicious file created
2025-05-26 08:14:11,r.kabbaj,PC-192.168.1.104,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 08:15:27,m.benali,PC-192.168.1.103,Windows10,file_access,,,C:\Users\m.benali\Documents\project.docx,Opened document
2025-05-26 08:16:00,m.benali,PC-192.168.1.101,Windows10,network_connection,,,192.168.1.20,Suspicious connection to 192.168.1.20
2025-05-26 08:16:25,n.elkhlifi,PC-192.168.1.101,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 08:17:03,a.hamidi,PC-192.168.1.102,Windows10,login_success,,,,User a.hamidi logged in
2025-05-26 08:17:43,n.elkhlifi,PC-192.168.1.104,Windows10,open_application,Teams.exe,,,n.elkhlifi opened Teams.exe
2025-05-26 08:18:51,m.benali,PC-192.168.1.101,Windows10,open_application,Chrome.exe,,,m.benali opened Chrome.exe
2025-05-26 08:20:06,r.kabbaj,PC-192.168.1.104,Windows10,login_success,,,,User r.kabbaj logged in
2025-05-26 08:20:47,n.elkhlifi,PC-192.168.1.104,Windows10,open_application,Outlook.exe,,,n.elkhlifi opened Outlook.exe
2025-05-26 08:20:58,m.benali,PC-192.168.1.105,Windows10,file_access,,,C:\Users\m.benali\Documents\project.docx,Opened document
2025-05-26 08:21:21,a.hamidi,PC-192.168.1.101,Windows10,login_success,,,,User a.hamidi logged in
2025-05-26 08:21:43,m.benali,PC-192.168.1.103,Windows10,alert_av,,,,Antivirus alert triggered
2025-05-26 08:22:59,r.kabbaj,PC-192.168.1.105,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 08:24:20,r.kabbaj,PC-192.168.1.105,Windows10,open_application,Word.exe,,,r.kabbaj opened Word.exe
2025-05-26 08:24:52,m.benali,PC-192.168.1.102,Windows10,login_success,,,,User m.benali logged in
2025-05-26 08:25:16,y.ait,PC-192.168.1.102,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 08:25:28,r.kabbaj,PC-192.168.1.101,Windows10,open_application,Outlook.exe,,,r.kabbaj opened Outlook.exe
2025-05-26 08:26:56,y.ait,PC-192.168.1.101,Windows10,login_success,,,,User y.ait logged in
2025-05-26 08:27:54,y.ait,PC-192.168.1.105,Windows10,login_success,,,,User y.ait logged in
2025-05-26 08:28:21,m.benali,PC-192.168.1.101,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 08:28:27,n.elkhlifi,PC-192.168.1.105,Windows10,file_access,,,C:\Users\n.elkhlifi\Documents\project.docx,Opened document
2025-05-26 08:28:51,r.kabbaj,PC-192.168.1.102,Windows10,file_access,,,C:\Users\r.kabbaj\Documents\project.docx,Opened document
2025-05-26 08:29:37,n.elkhlifi,PC-192.168.1.102,Windows10,network_connection,,,185.199.108.153,Suspicious connection to 185.199.108.153
2025-05-26 08:30:33,r.kabbaj,PC-192.168.1.104,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 08:31:41,n.elkhlifi,PC-192.168.1.101,Windows10,login_success,,,,User n.elkhlifi logged in
2025-05-26 08:32:15,a.hamidi,PC-192.168.1.104,Windows10,login_success,,,,User a.hamidi logged in
2025-05-26 08:33:22,y.ait,PC-192.168.1.103,Windows10,login_success,,,,User y.ait logged in
2025-05-26 08:33:28,n.elkhlifi,PC-192.168.1.101,Windows10,open_application,Word.exe,,,n.elkhlifi opened Word.exe
2025-05-26 08:34:50,n.elkhlifi,PC-192.168.1.105,Windows10,login_success,,,,User n.elkhlifi logged in
2025-05-26 08:35:30,y.ait,PC-192.168.1.101,Windows10,login_success,,,,User y.ait logged in
2025-05-26 08:35:42,m.benali,PC-192.168.1.105,Windows10,login_success,,,,User m.benali logged in
2025-05-26 08:37:05,a.hamidi,PC-192.168.1.105,Windows10,open_application,Teams.exe,,,a.hamidi opened Teams.exe
2025-05-26 08:37:48,r.kabbaj,PC-192.168.1.102,Windows10,open_application,Chrome.exe,,,r.kabbaj opened Chrome.exe
2025-05-26 08:37:59,m.benali,PC-192.168.1.102,Windows10,network_connection,,,192.168.1.20,Suspicious connection to 192.168.1.20
2025-05-26 08:38:20,y.ait,PC-192.168.1.101,Windows10,email_clicked,,,http://um6p-reset-password.com,Clicked suspicious link: http://um6p-reset-password.com
2025-05-26 08:39:16,n.elkhlifi,PC-192.168.1.104,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 08:40:32,r.kabbaj,PC-192.168.1.101,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 08:41:04,m.benali,PC-192.168.1.101,Windows10,login_success,,,,User m.benali logged in
2025-05-26 08:41:23,a.hamidi,PC-192.168.1.105,Windows10,login_success,,,,User a.hamidi logged in
2025-05-26 08:41:55,n.elkhlifi,PC-192.168.1.103,Windows10,network_connection,,,10.0.0.66,Suspicious connection to 10.0.0.66
2025-05-26 08:42:16,r.kabbaj,PC-192.168.1.101,Windows10,login_success,,,,User r.kabbaj logged in
2025-05-26 08:42:35,a.hamidi,PC-192.168.1.104,Windows10,login_success,,,,User a.hamidi logged in
2025-05-26 08:42:49,m.benali,PC-192.168.1.105,Windows10,alert_av,,,,Antivirus alert triggered
2025-05-26 08:44:16,y.ait,PC-192.168.1.103,Windows10,email_received,,it-support@um6p.ac.ma,,Email received from it-support@um6p.ac.ma
2025-05-26 08:45:32,a.hamidi,PC-192.168.1.103,Windows10,login_success,,,,User a.hamidi logged in
2025-05-26 08:45:40,n.elkhlifi,PC-192.168.1.101,Windows10,file_created,,,C:\Temp\malware.exe,Suspicious file created
2025-05-26 08:46:40,r.kabbaj,PC-192.168.1.103,Windows10,open_application,Word.exe,,,r.kabbaj opened Word.exe
2025-05-26 08:46:52,r.kabbaj,PC-192.168.1.103,Windows10,network_connection,,,185.199.108.153,Suspicious connection to 185.199.108.153
2025-05-26 08:47:59,a.hamidi,PC-192.168.1.103,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 08:49:25,y.ait,PC-192.168.1.103,Windows10,file_created,,,C:\Temp\malware.exe,Suspicious file created
2025-05-26 08:50:15,r.kabbaj,PC-192.168.1.101,Windows10,file_access,,,C:\Users\r.kabbaj\Documents\project.docx,Opened document
2025-05-26 08:51:25,a.hamidi,PC-192.168.1.103,Windows10,email_received,,finance@um6p.ac.ma,,Email received from finance@um6p.ac.ma
2025-05-26 08:52:29,n.elkhlifi,PC-192.168.1.103,Windows10,open_application,Teams.exe,,,n.elkhlifi opened Teams.exe
2025-05-26 08:52:39,y.ait,PC-192.168.1.101,Windows10,file_created,,,C:\Temp\malware.exe,Suspicious file created
2025-05-26 08:53:31,n.elkhlifi,PC-192.168.1.104,Windows10,open_application,Chrome.exe,,,n.elkhlifi opened Chrome.exe
